depth_m,speed_mps,cweight_kg,whp_barg,temp_degC,pressure_bara,frequency_hz,datetime,timestamp
900.30585,-1.4952298,159.03722,-0.3939286,72.276764,48.46683,14.950873,2020-12-11 16:03:50.112,1607655830.112
899.93066,-1.4969635,158.71815,-0.3939286,72.2846,48.430202,14.911102,2020-12-11 16:03:50.112,1607655830.112
899.49713,-1.4966664,157.45541,-0.3945127,72.29767,48.393574,15.729687,2020-12-11 16:03:50.112,1607655830.112
899.0017,-1.4968286,157.95422,-0.3939286,72.29767,48.3591,15.766573,2020-12-11 16:03:50.976,1607655830.976
898.80865,-1.4971924,158.69122,-0.39257407,72.32119,48.323547,15.621862,2020-12-11 16:03:50.976,1607655830.976
898.4335,-1.4971924,158.20815,-0.39325207,72.32903,48.28692,15.275156,2020-12-11 16:03:50.976,1607655830.976
898.0582,-1.4971924,159.03273,-0.39189458,72.33426,48.25137,15.767828,2020-12-11 16:03:51.840,1607655831.84
897.6867,-1.4963379,157.66211,-0.39218664,72.34733,48.215816,15.453105,2020-12-11 16:03:51.840,1607655831.84
897.31146,-1.4968444,157.03297,-0.39189458,72.36562,48.179188,15.407132,2020-12-11 16:03:51.840,1607655831.84
896.878,-1.4978509,158.89568,-0.3922835,72.36301,48.14364,15.928664,2020-12-11 16:03:51.840,1607655831.84
896.39716,-1.4969314,158.50246,-0.39208978,72.37085,48.10701,14.612025,2020-12-11 16:03:52.704,1607655832.704
896.1895,-1.4959717,157.89355,-0.39131492,72.3813,48.072536,15.243265,2020-12-11 16:03:52.704,1607655832.704
895.8143,-1.4971924,157.82387,-0.3914103,72.39699,48.035908,15.424327,2020-12-11 16:03:52.704,1607655832.704
895.4391,-1.4971924,157.37003,-0.39199144,72.3996,47.99928,15.051467,2020-12-11 16:03:53.568,1607655833.568
895.0675,-1.4963567,157.93399,-0.39470494,72.41006,47.964806,15.445018,2020-12-11 16:03:53.568,1607655833.568
894.6923,-1.4968253,156.91164,-0.39325207,72.42051,47.9271,15.099523,2020-12-11 16:03:53.568,1607655833.568
894.32074,-1.4959717,156.92963,-0.39199144,72.43096,47.892628,14.992741,2020-12-11 16:03:54.432,1607655834.432
893.88727,-1.4954617,158.3519,-0.3948018,72.44403,47.856,15.100407,2020-12-11 16:03:54.432,1607655834.432
893.39185,-1.4956353,158.70016,-0.39489865,72.45187,47.820446,15.218515,2020-12-11 16:03:54.432,1607655834.432
893.1988,-1.4959717,158.52942,-0.39470494,72.4571,47.784897,15.977768,2020-12-11 16:03:54.432,1607655834.432
892.8272,-1.494751,157.28014,-0.39470494,72.45187,47.74827,15.407501,2020-12-11 16:03:55.296,1607655835.296
892.4556,-1.4941031,155.67358,-0.3939286,72.462326,47.712715,14.951337,2020-12-11 16:03:55.296,1607655835.296
892.08044,-1.4945627,157.50706,-0.39237887,72.48062,47.67824,15.211823,2020-12-11 16:03:55.296,1607655835.296
891.70886,-1.4935507,158.20815,-0.3922835,72.48585,47.641613,15.298206,2020-12-11 16:03:56.160,1607655836.16
891.2754,-1.4930525,157.52281,-0.39189458,72.48585,47.606064,15.778562,2020-12-11 16:03:56.160,1607655836.16
890.79816,-1.4922606,156.66225,-0.3916055,72.49369,47.57051,15.641425,2020-12-11 16:03:56.160,1607655836.16
890.5942,-1.4911093,156.07579,-0.39189458,72.49108,47.53496,15.808459,2020-12-11 16:03:56.160,1607655836.16
890.21893,-1.4911295,157.03297,-0.39373636,72.49631,47.498333,15.331347,2020-12-11 16:03:57.024,1607655837.024
889.84375,-1.49233,157.30261,-0.39315522,72.50676,47.461704,14.958362,2020-12-11 16:03:57.024,1607655837.024
889.47217,-1.4918683,157.60594,-0.39267093,72.50676,47.42723,15.890424,2020-12-11 16:03:57.024,1607655837.024
889.10065,-1.4911592,157.28238,-0.3945127,72.522446,47.39168,15.575422,2020-12-11 16:03:57.888,1607655837.888
888.6708,-1.4894787,155.90504,-0.39489865,72.54597,47.355053,15.901331,2020-12-11 16:03:57.888,1607655837.888
888.18994,-1.491083,156.90715,-0.3945127,72.538124,47.32058,15.068344,2020-12-11 16:03:57.888,1607655837.888
887.9823,-1.4911093,157.40819,-0.39422065,72.54597,47.285027,15.213238,2020-12-11 16:03:57.888,1607655837.888
887.6253,-1.4908402,157.30037,-0.39460808,72.535515,47.247322,15.742595,2020-12-11 16:03:58.752,1607655838.752
887.2537,-1.4897288,156.76782,-0.39509237,72.54335,47.21285,15.682635,2020-12-11 16:03:58.752,1607655838.752
886.8676,-1.4896146,156.58807,-0.39383322,72.572105,47.177296,16.54534,2020-12-11 16:03:58.752,1607655838.752
886.4924,-1.4900373,156.3679,-0.39305836,72.561646,47.140667,15.848004,2020-12-11 16:03:59.616,1607655839.616
886.1208,-1.4911295,156.62854,-0.39296,72.55904,47.105118,15.666227,2020-12-11 16:03:59.616,1607655839.616
885.6873,-1.4906633,157.22173,-0.39286464,72.57733,47.070644,16.163956,2020-12-11 16:03:59.616,1607655839.616
885.21375,-1.4887476,156.24432,-0.3943175,72.58778,47.034016,15.768194,2020-12-11 16:03:59.616,1607655839.616
885.0025,-1.4898885,155.50061,-0.39460808,72.60085,46.997387,15.735077,2020-12-11 16:04:00.480,1607655840.48
884.6455,-1.48971,155.914,-0.3945127,72.61131,46.961838,15.049583,2020-12-11 16:04:00.480,1607655840.48
884.25934,-1.4896334,157.14757,-0.39509237,72.61131,46.92736,15.544027,2020-12-11 16:04:00.480,1607655840.48
883.88776,-1.4900373,157.0577,-0.39460808,72.61654,46.89181,15.811957,2020-12-11 16:04:01.344,1607655841.344
883.53076,-1.4885558,155.6219,-0.39518923,72.62699,46.85626,15.739718,2020-12-11 16:04:01.344,1607655841.344
883.0791,-1.4905586,155.61295,-0.39489865,72.62438,46.82071,15.850758,2020-12-11 16:04:01.344,1607655841.344
882.60187,-1.4909793,156.48248,-0.3945127,72.63222,46.78408,15.87142,2020-12-11 16:04:01.344,1607655841.344
882.3942,-1.4911295,156.94757,-0.39460808,72.63745,46.74745,15.047541,2020-12-11 16:04:02.208,1607655842.208
882.01904,-1.4911093,156.47125,-0.39218664,72.6479,46.711903,15.939737,2020-12-11 16:04:02.208,1607655842.208
881.66565,-1.4897288,155.31857,-0.39208978,72.6479,46.67635,16.024817,2020-12-11 16:04:02.208,1607655842.208
881.29047,-1.4908402,155.0557,-0.39208978,72.66359,46.6408,15.805217,2020-12-11 16:04:03.072,1607655843.072
880.9153,-1.4912605,156.30496,-0.39199144,72.67404,46.606327,15.4567585,2020-12-11 16:04:03.072,1607655843.072
880.48175,-1.4919974,156.74763,-0.3934443,72.6662,46.5697,16.022188,2020-12-11 16:04:03.072,1607655843.072
879.99365,-1.4909793,154.75012,-0.39237887,72.67666,46.534145,15.456773,2020-12-11 16:04:03.072,1607655843.072
879.786,-1.4911093,155.04,-0.39199144,72.681885,46.497517,15.571714,2020-12-11 16:04:03.936,1607655843.936
879.429,-1.4908402,154.88493,-0.39218664,72.694954,46.460888,15.358595,2020-12-11 16:04:03.936,1607655843.936
879.04285,-1.4910017,156.22633,-0.39247572,72.70802,46.426414,15.183756,2020-12-11 16:04:03.936,1607655843.936
878.68585,-1.4907415,156.03986,-0.3917992,72.7028,46.390865,15.4161825,2020-12-11 16:04:04.800,1607655844.8
878.29974,-1.4888965,155.20398,-0.39121807,72.70802,46.354237,15.737567,2020-12-11 16:04:04.800,1607655844.8
877.92816,-1.4886881,155.27815,-0.39150715,72.7028,46.319763,15.876508,2020-12-11 16:04:04.800,1607655844.8
877.5092,-1.4883916,155.41074,-0.3917992,72.71325,46.28421,15.409202,2020-12-11 16:04:05.664,1607655845.664
877.0211,-1.4886318,156.12975,-0.39354265,72.72371,46.24866,15.134034,2020-12-11 16:04:05.664,1607655845.664
876.8098,-1.4885887,156.12975,-0.39199144,72.728935,46.213108,15.177788,2020-12-11 16:04:05.664,1607655845.664
876.4419,-1.4861757,154.56584,-0.39373636,72.73678,46.176483,15.142092,2020-12-11 16:04:05.664,1607655845.664
876.0849,-1.4862717,154.59508,-0.39218664,72.74462,46.14093,15.618146,2020-12-11 16:04:06.528,1607655846.528
875.6988,-1.485391,155.96793,-0.39208978,72.74723,46.10538,15.092967,2020-12-11 16:04:06.528,1607655846.528
875.3309,-1.4850464,154.71642,-0.39218664,72.75769,46.069828,15.299378,2020-12-11 16:04:06.528,1607655846.528
874.89734,-1.4857959,154.51643,-0.3916055,72.76814,46.03428,15.793299,2020-12-11 16:04:07.392,1607655847.392
874.4274,-1.4840571,155.79042,-0.39063692,72.79167,45.99765,14.871727,2020-12-11 16:04:07.392,1607655847.392
